LONGITUDE LATITUDE PRCP
-80.4279 32.5005 4.31
-80.3899 32.4858 4.08
-81.4854 32.9361 0.95
-81.4467 32.922 0.78
-81.4081 32.9078 0.73
-81.3694 32.8936 0.56
-81.3308 32.8794 0.55
-81.2922 32.8652 0.73
-81.2536 32.851 0.98
-81.215 32.8367 1.2
-81.1765 32.8224 1.17
-81.138 32.8081 0.62
-81.0995 32.7938 0.52
-81.061 32.7794 0.6
-81.0226 32.7651 0.7
-80.9841 32.7507 1.33
-80.9457 32.7363 1.7
-80.9074 32.7219 1.81
-80.869 32.7074 2.24
-80.8307 32.693 2.4
-80.7924 32.6785 2.42
-80.7541 32.664 2.82
-80.7158 32.6494 3.4
-80.6776 32.6349 3.63
-80.6393 32.6203 3.52
-80.6012 32.6058 3.68
-80.563 32.5912 3.88
-80.5248 32.5765 3.84
-80.4867 32.5619 3.91
-80.4486 32.5472 4.18
-80.4105 32.5326 4.55
-80.3725 32.5179 4.42
-80.3344 32.5032 4.25
-81.4686 32.9686 0.83
-81.4299 32.9545 0.75
-81.3912 32.9403 0.61
-81.3525 32.9261 0.67
-81.3138 32.9119 0.82
-81.2752 32.8976 1.18
-81.2366 32.8834 1.55
-81.198 32.8691 1.58
-81.1595 32.8548 1.16
-81.1209 32.8405 1.1
-81.0824 32.8261 1.04
-81.0439 32.8118 1.13
-81.0055 32.7974 1.45
-80.967 32.783 1.68
-80.9286 32.7686 1.73
-80.8902 32.7541 2.12
-80.8518 32.7397 2.44
-80.8135 32.7252 2.52
-80.7751 32.7107 2.74
-80.7368 32.6962 3.13
-80.6985 32.6817 3.57
-80.6603 32.6671 3.54
-80.622 32.6525 3.68
-80.5838 32.6379 3.85
-80.5456 32.6233 3.97
-80.5075 32.6087 3.8
-80.4693 32.594 3.9
-80.4312 32.5794 4.17
-80.3931 32.5647 4.75
-80.355 32.55 4.81
-80.317 32.5352 4.85
-80.2789 32.5205 4.95
-81.4905 33.0153 0.84
-81.4517 33.0011 0.8
-81.413 32.987 0.74
-81.3743 32.9728 0.7
-81.3356 32.9586 0.91
-81.2969 32.9443 1.14
-81.2582 32.9301 1.53
-81.2196 32.9158 1.71
-81.181 32.9015 1.53
-81.1424 32.8872 1.71
-81.1039 32.8728 2.08
-81.0653 32.8585 2.24
-81.0268 32.8441 2.69
-80.9883 32.8297 2.59
-80.9499 32.8153 2.45
-80.9114 32.8009 2.43
-80.873 32.7864 2.86
-80.8346 32.772 2.86
-80.7962 32.7575 2.88
-80.7579 32.743 3.51
-80.7195 32.7284 3.8
-80.6812 32.7139 3.89
-80.643 32.6993 4.15
-80.6047 32.6847 3.83
-80.5665 32.6701 3.69
-80.5283 32.6555 3.69
-80.4901 32.6408 3.69
-80.4519 32.6262 4.33
-80.4138 32.6115 4.69
-80.3756 32.5968 4.98
-80.3375 32.582 5.04
-80.2995 32.5673 5.03
-80.2614 32.5525 4.94
-81.7457 33.1464 1.68
-81.7068 33.1324 1.2
-81.6679 33.1183 1.06
-81.629 33.1043 0.95
-81.5901 33.0902 0.97
-81.5512 33.0761 0.9
-81.5124 33.062 0.9
-81.4736 33.0478 0.91
-81.4348 33.0336 0.93
-81.396 33.0194 0.9
-81.3573 33.0052 1.09
-81.3186 32.991 1.34
-81.2799 32.9768 1.67
-81.2412 32.9625 1.86
-81.2026 32.9482 1.86
-81.164 32.9339 2.05
-81.1254 32.9196 2.21
-81.0868 32.9052 2.62
-81.0482 32.8909 2.88
-81.0097 32.8765 3.12
-80.9712 32.8621 3.16
-80.9327 32.8476 3.52
-80.8942 32.8332 3.83
-80.8558 32.8187 3.69
-80.8174 32.8042 3.47
-80.779 32.7897 3.57
-80.7406 32.7752 3.74
-80.7023 32.7607 3.81
-80.6639 32.7461 3.86
-80.6256 32.7315 3.49
-80.5873 32.7169 3.23
-80.5491 32.7023 3.23
-80.5109 32.6876 3.54
-80.4727 32.673 3.91
-80.4345 32.6583 4.49
-80.3963 32.6436 4.52
-80.3582 32.6289 4.66
-80.32 32.6141 4.85
-80.282 32.5994 4.95
-80.2439 32.5846 5.53
-80.2058 32.5698 6.04
-81.729 33.179 1.13
-81.69 33.165 1.12
-81.6511 33.1509 1.11
-81.6121 33.1369 1.16
-81.5733 33.1228 1.18
-81.5344 33.1086 1.18
-81.4955 33.0945 1.07
-81.4567 33.0803 1.05
-81.4179 33.0661 1.18
-81.3791 33.0519 1.54
-81.3403 33.0377 1.82
-81.3016 33.0235 2.36
-81.2629 33.0092 2.61
-81.2242 32.9949 2.6
-81.1855 32.9806 1.47
-81.1469 32.9663 1.52
-81.1083 32.952 2.58
-81.0697 32.9376 3.02
-81.0311 32.9232 3.18
-80.9925 32.9088 3.18
-80.954 32.8944 3.43
-80.9155 32.88 3.71
-80.877 32.8655 3.81
-80.8385 32.851 3.55
-80.8001 32.8365 3.56
-80.7617 32.822 3.98
-80.7233 32.8075 3.7
-80.6849 32.7929 3.9
-80.6466 32.7783 3.78
-80.6083 32.7637 3.61
-80.57 32.7491 3.22
-80.5317 32.7345 3.63
-80.4934 32.7198 3.92
-80.4552 32.7051 4.16
-80.417 32.6904 4.39
-80.3788 32.6757 4.69
-80.3407 32.661 4.95
-80.3025 32.6462 5.18
-80.2644 32.6315 5.9
-80.2263 32.6167 6.54
-80.1883 32.6019 7.28
-80.1502 32.587 7.36
-81.8293 33.2537 0.99
-81.7903 33.2397 0.98
-81.7512 33.2257 1.01
-81.7122 33.2117 1.04
-81.6732 33.1976 1.13
-81.6343 33.1835 1.18
