,DATE,SITENUMBER,LATITUDE,LONGITUDE,GAGE_MAX,YEAR,MONTH
27965,2015-02-28,02131500,34.2501545,-80.2136816,11.41,2015,2
27966,2015-02-28,02132000,34.05154846,-79.7539545,11.32,2015,2
27967,2015-02-28,02135000,34.05710829,-79.2469897,8.91,2015,2
27968,2015-02-28,02136000,33.66127545,-79.83590448,10.56,2015,2
27969,2015-02-28,02136361,33.32850037,-79.3381102,2.03,2015,2
27970,2015-02-28,021457492,35.065,-81.1383333,4.12,2015,2
27971,2015-02-28,021459367,34.9868083,-81.00833889,2.76,2015,2
27972,2015-02-28,02146000,34.98486935,-80.97396579999999,7.91,2015,2
27973,2015-02-28,02146110,34.94444444,-80.97972220000003,3.39,2015,2
27974,2015-02-28,0214676115,35.040833299999996,-80.8916667,6.35,2015,2
27975,2015-02-28,02146800,35.0059812,-80.9022968,10.34,2015,2
27976,2015-02-28,02147020,34.83625705,-80.879518,9.84,2015,2
27977,2015-02-28,021473415,34.975,-81.18,3.43,2015,2
27978,2015-02-28,021473426,34.95653054,-81.1061882,3.51,2015,2
27979,2015-02-28,021473428,34.8895867,-81.06924599999998,4.17,2015,2
27980,2015-02-28,02147500,34.5654221,-80.9198025,6.41,2015,2
27981,2015-02-28,02148000,34.24459385,-80.6539697,13.79,2015,2
27982,2015-02-28,02153051,35.13762807,-81.5978723,100.36,2015,2
27983,2015-02-28,02153200,35.12401728,-81.58787199,3.99,2015,2
27984,2015-02-28,02153551,35.0312419,-81.492591,26.74,2015,2
27985,2015-02-28,02153590,35.11846498,-81.43647578,3.11,2015,2
27986,2015-02-28,02153700,35.0629045,-81.71454440000002,3.38,2015,2
27987,2015-02-28,02154500,35.12095166,-81.9859403,4.31,2015,2
27988,2015-02-28,02154790,35.10650510000001,-82.12955490000002,5.73,2015,2
27989,2015-02-28,02155500,35.10984144,-81.9595507,5.88,2015,2
27990,2015-02-28,021556525,35.0476231,-81.8556592,2.85,2015,2
27991,2015-02-28,02156300,34.9481803,-81.86871409999998,5.52,2015,2
27992,2015-02-28,021564493,34.66305556,-81.44722220000001,308.24,2015,2
27993,2015-02-28,02156500,34.5951393,-81.42120890000002,4.81,2015,2
27994,2015-02-28,02157470,35.03888889,-82.21861109999998,6.64,2015,2
27995,2015-02-28,02157510,34.940118700000006,-82.12344209999998,2.81,2015,2
27996,2015-02-28,02158408,34.92095239,-82.13010899999998,5.62,2015,2
27997,2015-02-28,02160105,34.535416299999994,-81.548158,6.79,2015,2
27998,2015-02-28,02160325,34.88345068,-82.30122779999998,3.04,2015,2
27999,2015-02-28,02160326,34.85650727,-82.22622468,5.57,2015,2
28000,2015-02-28,02160381,34.71678818,-82.1737222,3.6,2015,2
28001,2015-02-28,02160390,34.68345815,-82.0398229,4.68,2015,2
28002,2015-02-28,02160700,34.5093039,-81.5981594,18.28,2015,2
28003,2015-02-28,02160991,34.26070285,-81.3303747,224.6,2015,2
28004,2015-02-28,02161000,34.24320335,-81.319541,8.69,2015,2
28005,2015-02-28,02162035,34.048333299999996,-81.0733333,155.55,2015,2
28006,2015-02-28,02162093,34.02737615,-81.0417588,4.47,2015,2
28007,2015-02-28,02162290,35.06345088,-82.65012800000002,3.11,2015,2
28008,2015-02-28,02162350,35.1201172,-82.537623,3.08,2015,2
28009,2015-02-28,021623975,35.08388889,-82.46,5.08,2015,2
28010,2015-02-28,02162500,34.84233977,-82.4806814,3.63,2015,2
